실행일,실행,종료,퍼널,실행 담당자,제안 담당자,소재,목적,타겟,문구,예상 모수,랜딩,수단,혜택 상세,Braze1,Braze2,예약 생성 (건),이탈 가설,추가 혜택,채널,서비스 생애 단계,타겟 연령,설정 시간,리드타임,출발시각,타겟 차종,글로벌 대조군(건),순증(건),사업팀 전달,실험군,실험군_발송,실험군_1일이내_예약생성,실험군_예약전환율,실험군_3일이내_예약생성,실험군_3일이내_예약전환율,실험군_7일이내_예약생성,실험군_7일이내_예약전환율,대조군,대조군_발송,대조군_1일이내_예약생성,대조군_예약전환율,3일이내 예약생성.1,예약전환율.4,7일이내 예약생성.1,예약전환율.5
2025-09-04,True,False,B0_혜택 탐색 중 이탈_접속,헤브,훈스,주행요금 개편,"- 앱 메인에서 ""주행요금 무료"" 텍스트를 읽고 클릭했으나 총결제요금 등 복잡한
용어 때문에 예약을 포기한 회원
- 다시 한번 명확한 베네핏을 인지시켜주고 예약을 재설득하기","· [앱 메인 스마트하게 쏘카 타자] 영역에서 ""주행요금 무료!"" 버튼 클릭 후 예약하지 않은 회원 + 
  전기차 사용경험 있음
· 최근 7일 조회 회원","(광고)[쏘카] 주행요금 0원📉
전기차는 완전 무료! 경비 부담 없는 보장상품 포함 가격, 지금 다시 확인하기
[수신거부 : 설정]",,,,,Promo_250904_타겟_헤브_세일즈tf-B1-총결제요금프로모션진입후이탈-프로모션안내_카셰어링(전체)_푸시_AB테스트,,,제공 혜택 미흡,,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,1121.0,51.0,5.0,100.0,8.9,145.0,12.9,Control,54.0,0.0,0.0,0.0,0.00%,0.0,0
2025-09-04,True,False,R1_결제 퍼널 이탈_예약 화면 진입,지아나,지아나,이탈,"- 결제페이지 조회 > 예약까지 평균 7분 소요
- 10분 뒤 넛징을 통해 회원의 전환을 유도하고 이탈 최소화
- 결제페이지 진입 후 10분 내 예약 미발생 시 쿠폰 지급 + 푸시 발송",결제페이지 조회 후 10분 내 예약 없는 회원,"(광고)[쏘카] 60% 쿠폰 도착
👉 관심 있게 보신 #차종명(디 올뉴투싼)도 즉시 할인!
오늘이 지나면 혜택이 사라져요🚨
[수신거부 : 설정]",,,,,Promo_250904-0918_타겟_지아나_세일즈tf-R1-결제화면조회후10분미예약_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,8990.0,2603.0,29.0,3395.0,37.8,4506.0,50.1,Control,277.0,75.0,27.0,0.0,0.00%,0.0,0
2025-09-04,True,False,B0_혜택 탐색 중 이탈_접속,마이클,패트,이탈,"- 운전에 자신이 없어 사고 부담으로 예약을 망설이는 회원에게
- 타겟 조건 : 최근 1년 카셰어링 0회 이용자
- 완전 자차 PF0 상품을 안내함으로써 사고 부담을 낮춰줌으로써 예약 전환 유도","1년 내 쏘카 예약 완료 경험이 없는 회원 중 
결제페이지 진입한 회원","혹시 초보 운전이세요?
👉 '자기부담금 0원' 상품으로 안심 운전하세요!",,,,,Promo_250904-0918_타겟_패트마이클_세일즈tf-R1-결제페이지진입시-보험상품안내_카셰어링(전체)_인앱메시지_AB테스트,,,,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,997.0,435.0,44.0,466.0,46.7,362.0,36.3,Control,0.0,0.0,,0.0,,0.0,
2025-09-04,True,False,R1_결제 퍼널 이탈_예약 화면 진입,패트,패트,FOMO,"- 결제페이지 진입한 회원에게 선택한 존과 시간 조건으로 다른 회원들이 살펴보고 있다는 점을 안내
- 차량이 필요한 회원에게 포모 자극을 통한 예약 유도",결제페이지 진입한 회원에게 즉시 안내,"예약이 빠르게 차는 중!🔥
👀{{parking}} {{car}}을 {{viewers}}명이 보고 있어요.
선택하신 {{hour_label}}까지 이용 원하시면 지금 예약으로 확정해 주세요!",,,,,Promo_250904-0918_타겟_패트_세일즈tf-R1-결제페이지진입시-포모자극_카셰어링(전체)_인앱메시지_AB테스트,Promo_250904-0918_타겟_패트_세일즈tf-R1-결제페이지진입시-포모자극_카셰어링(전체)_인앱메시지_AB테스트,,,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,10640.0,5905.0,55.0,6517.0,61.3,6264.0,58.9,Control,0.0,0.0,,0.0,,0.0,
2025-09-04,True,False,T2__대여시간 설정,밤비,밤비,주행요금 개편,"- 출발시간 18시 이상 설정 시 심야 할인 토스트인앱 (개발) 노출되나 가독성 떨어짐
- 심야에는 편도가 할인된다는 내용 적극 활용 필요
- 심야 편도 할인 + 주행요금 50km 무료인 점 안내하여 예약 생성 유도
- 주행요금 50km 무료 / 전기차 주행요금 0원 abT

* 평일 2시간 이상 대여 & 출발시간 17:00 ~ 익일 03:59 셋팅 회원
(실제 적용 시간은 18:00 ~ 04:59)","출발시간 기준 17:00~03:59 설정회원 중 편도 토글 클릭 후 20분 내 예약 없는 회원

*3일 1회 발송","A안
(광고)[쏘카] 18시부터 편도요금 50%⬇️
편도요금도 최대 1만원 할인! 
주행요금 50km도 무료로 이용하세요🚘
[수신거부 : 설정]

B안
(광고)[쏘카] 18시부터 편도요금 50%⬇️
편도요금도 최대 1만원 할인! 
전기차는 주행요금까지 무료예요⚡️
[수신거부 : 설정]",,,,,Promo_250904-0917_타겟_밤비_세일즈tf-T7-편도클릭후이탈(주중)_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,U2. 4시간 이상 ~ 10시간 미만,,S4. 18시-24시 (저녁),,,,,Variant,642.0,138.0,21.0,186.0,29.0,216.0,33.6,Control,54.0,10.0,19.0,0.0,0.00%,0.0,0
2025-09-04,True,False,T2__대여시간 설정,조단,조단,이탈,"- 대여 시간 설정 시 4시간 미만 선택 후 확인 버튼 누른 회원 타겟
 - 확인 버튼 누른 후 10분 후까지 예약이 없는 회원 예약 유도",대여시간 4시간 미만 클릭 후 이탈 회원,"(광고)[쏘카] 4시간 미만도 할인🔥
짧게 이용해도 40% 할인가에 예약할 수 있어요! 지금 쿠폰함을 확인해 보세요👉
[수신거부 : 설정]",,,,,Promo_250904-250917_타겟_조단_세일즈tf-T2-대여시간설정-4시간미만-예약촉진_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,U1. 4시간 미만,,,,,,,Variant,5116.0,1023.0,20.0,1316.0,25.7,1490.0,29.1,Control,133.0,25.0,19.0,0.0,0.00%,0.0,0
2025-09-04,True,False,T2__대여시간 설정,키네,조단,이탈,"- 대여 시간 설정 시 4시간 이상~2일 미만 선택 후 확인 버튼 누른 회원 타겟
 - 확인 버튼 누른 후 10분 후까지 예약이 없는 회원 예약 유도",대여시간 4시간 이상 2일 미만 선택 후 이탈 회원,"(광고)[쏘카] 4시간 이상 예약 할인🔥
길게 타면 60% 할인 받고 예약할 수 있어요! 지금 쿠폰함을 확인해 보세요👉
[수신거부 : 설정]",,,,,Promo_250904-250917_타겟_키네_세일즈tf-T2-대여시간설정-4시간이상2일미만-예약촉진_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,U2. 4시간 이상 ~ 10시간 미만,,,,,,,Variant,24837.0,5773.0,23.0,7605.0,30.6,8979.0,36.2,Control,563.0,104.0,18.0,0.0,0.00%,0.0,0
2025-09-04,True,False,T3__대여 장소 검색,조단,조단,이탈,"- 차량 대여 장소 검색 클릭 10분 후까지 예약이 없는 회원 예약 유도
- 원하는 차가 없어 이탈한 회원으로 가정 > 예약 시간대 변경과 부름 2가지 소구 ABT",차량 대여 장소 검색 클릭 10분 후까지 예약이 없는 회원,"예약 시간대 변경 소구

(광고)[쏘카] 원하는 차가 없나요?🤔
지금 예약 시간을 바꿔 예약하시면 【60% 할인】을 자동으로 적용해 드려요!
[수신거부 : 설정]

부름 소구

(광고)[쏘카] 원하는 차가 없나요?🤔
택시처럼 차를 불러보세요🚘 【부름 50%+대여 60% 할인】을 적용해 드려요!
[수신거부 : 설정]",,,,,Promo_250904-250917_타겟_조단_세일즈tf-T3-대여장소검색-예약촉진_카셰어링(전체)_푸시_AB테스트,,,예약 가능 차량 부재,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,5657.0,1222.0,22.0,1559.0,27.6,1822.0,32.2,Control,113.0,22.0,19.0,0.0,0.00%,0.0,0
2025-09-05,True,False,T4__존 마커 클릭,헤브,훈스,부름 유도,"· 부름호출존 클릭해서 예약을 망설이는 회원
· 부름을 잘 모르거나 부름 가격이 허들이거나 가정
· 부름과 부름 무료조건을 알려주기","- 이용시간 셋팅 리드타임 1시간 이상인 회원
- 부름호출존 클릭 ","여긴 차량을 가져다 드리는 부름호출존🚚
10시간 이상 빌리면 부름요금 🔻반/값!",,,,,Promo_250905-0918_타겟_헤브_세일즈tf-T4-부름호출존마커클릭클릭시-부름호출존안내_카셰어링(전체)_인앱메시지_AB테스트,,,고객 기대 가격 초과,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,U2. 4시간 이상 ~ 10시간 미만,LT3.리드타임 1일 이내,,,,,,Variant,1656.0,537.0,32.0,639.0,38.6,602.0,36.4,Control,0.0,0.0,,0.0,,0.0,
2025-09-05,True,False,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,밤비,밤비,이탈,"- 이용시간 닫기 클릭한 인액티브 회원은 사용 방법에 대한 장벽 존재할 가능성 높음
- 정보 부족으로 이탈했을 수 있어 예약에 필요한 정보 제공","- 이용시간 셋팅하지 않고 Close 클릭 후 예약없는 인액티브 회원(=이용경험 없는 회원)
- 이용시간 Close +1초 후 노출","#NAME#님 예약이 어렵다면 가이드를 확인해주세요! 
👉눌러서 예약 방법 확인하기",,,,,Promo_250905-0918_타겟_밤비_세일즈tf-T1-차량탐색중이탈-가지러가기클릭_카셰어링(전체)_인앱메시지_AB테스트,,,,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,922.0,229.0,25.0,261.0,28.3,220.0,23.9,Control,0.0,0.0,,0.0,,0.0,
2025-09-05,True,False,T5__차량 상세 조회,조단,조단,이탈,"- 시간 설정에서 원하는 시간을 선택함 (1차 시간 설정)
- 차종 리스트에서 원하는 차를 선택하고 싶었지만 설정한 시간에 이미 예약되어 있음.
- 시간 조정 버튼을 클릭해서 시간을 조정하려고 했지만 실패함 (2차 시간 설정)
=> 희망하는 시간대가 확고하나 이용할 수 없는 상황의 회원
=> 아래 2가지 소구
(1) 원하는 시간에 차가 없었나요? 다른 시간에 이용하면 60% 할인해 드려요 (왕복 60%)
(2) 원하는 시간에 차가 없었나요? 차를 불러보세요 (왕복 60%, 편도 50%)


최근 2주 unique member
ㄴ 퍼널 window 1시간

- 차량 상세에서 시간 조정하기 클릭 : 27,569건 (7.3%)
- 시간 조정 완료 클릭 : 11,803건 (42.8%)
- 예약 생성 2,613건 (9.5% / 직전 퍼널 전환율 22.5%)
","시간 조정하기 버튼 클릭 후 20분 내
- 예약 생성 X
- 예약 최초 1회 노출
","(1) 다른 시간대 예약 유도
(광고)[쏘카] 시간 변경하면 60% 할인
방금 선택한 시간과 다른 시간에 예약하시면 60% 할인을 적용해 드려요🤗
[수신거부 : 설정]

(2) 다른 시간대 예약 유도
(광고)[쏘카] 언제든 차를 불러보세요
방금 선택한 시간에 원하는 차가 없다면? 택시처럼 차를 부르세요! 👉60% 쿠폰 사용하기
[수신거부 : 설정]",,,,,Promo_250905-250918_타겟_조단_세일즈tf-T5-시간조정버튼클릭-예약촉진_카셰어링(전체)_푸시_AB테스트,,,예약 가능 차량 부재,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,1352.0,299.0,22.0,442.0,32.7,566.0,41.9,Control,27.0,7.0,26.0,0.0,0.00%,0.0,0
2025-09-05,True,False,R1_결제 퍼널 이탈_예약 화면 진입,패트,패트,이탈,"- 이용 방식이 편도이면서 결제페이지 도달한 회원 가운데
- 첫 사용 경험이 중요함으로 편도 사용경험이 0회인 회원에게 편도 첫 사용 유도를 위한 편도 할인 쿠폰 지급","- 편도 사용 이력이 없는 회원이면서
- 결제 페이지 진입 후 10분 이내 예약이 없는 회원에게 편도 할인 쿠폰 제공
- 혜택 : 대여 60% + 편도 50% (4시간 이상)
- 정책번호 : 15867","(광고)[쏘카] 🚗 편도가 처음이라면!
첫 편도 이용 시 60% 할인
+ 50km 주행요금 0원!  🎉
[수신거부 : 설정]",,,,,Promo_250905-0919_타겟_패트_세일즈tf-R1-편도결제화면조회후10분미예약_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,507.0,105.0,21.0,157.0,31.0,245.0,48.3,Control,17.0,4.0,24.0,0.0,0.00%,0.0,0
2025-09-08,True,False,T4__존 마커 클릭,밤비,밤비/조단/키네,실적 대응,"- 여행존 클릭 시 보유 크레딧 혹은 보험 및 보장상품 0원 무료 혜택 소구하여 예약 촉진
- 존클릭만으로 low hanging fruit 회원 필터할 수 없으나 본 캠페인 연계하여 결제페이지 이탈 회원에게 추가 혜택 지급 예정 (lms)
- 여행존 클릭 시 별도 혜택 지급하지 않고 보유 크레딧 혹은 보험 및 보장상품 0원 무료 혜택 소구하여 예약 촉진","- 제주공항 인근존에서 존클릭이 있는 회원
- 이용시간 1일 이상 설정
- 제주 여행을 계획하는 회원으로 유추
- 보유 크레딧에 따라 메시지 소구 포인트 상이
  └ 5000 크레딧 이상 보유 시 크레딧 소구
  └ 5000 크레딧 미만 보유 시 보험 및 보장상품 무료 소구

*여행존 성과측정 위해 2주 내 인앱메시지/푸시 수신하지 않은 회원 타겟","{% assign credit = custom_attribute.${credit_balance} %}
{% if credit >= 5000 %}
{{${first_name} | default: '회원'}}님 제주 여행 준비하시나요?✈️
✅{{custom_attribute.${credit_balance} | number_with_delimiter }}크레딧으로 더 저렴하게 예약하세요
+ ""주행요금 50km+보장상품 무료""는 덤!

{% else %}
{{${first_name} | default: '회원'}}님 제주 여행 준비하시나요?✈️
✅지금 예약하면 보험과 보장상품 무료+주행요금도 50km까지 무료!

{% endif %}",,,,,Promo_250908-0921_타겟_조단_세일즈tf-T4-존마커클릭-예약촉진(제주공항)_카셰어링(전체)_인앱메시지_AB테스트,,,제공 혜택 미흡,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,U4. 24시간 ~ 48시간 미만,,,,,,,Variant,540.0,133.0,25.0,158.0,29.3,70.0,13.0,Control,0.0,0.0,,0.0,,0.0,
2025-09-08,True,False,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,훈스,훈스,부름 유도,"· [ 여기로 부르기 ]를 클릭하여 부름 탐색을 막 시작한 회원
· 현재 클릭 후 랜딩된 페이지에서 보여주는 것은 ""부름은 6시간 이상 빌릴 때만 이용할 수 있습니다.""
  라는 문구 노출 중
· 부름과 예약에 적용할 수 있는 혜택 노출하여 예약 유도하기

· 인앱 메시지 노출 -> 20분 뒤 예약 생성안한 회원은 앱 푸시",- 일 평균 9천명,"(광고)[쏘카]  부름요금 50% 할인쿠폰 도착🎁
🚗 주행 50Km 무료 + 대여요금 60% 할인까지! 내일이면 사라져요😨
[수신거부:설정]",,,,,Promo_250908-250921_타겟_훈스_세일즈tf-T1-여기로부르기클릭회원공략_쿠폰/푸시,Promo_250908-250921_타겟_훈스_세일즈tf-T1-여기로부르기클릭회원공략_쿠폰/푸시,,제공 혜택 미흡,,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,1482.0,298.0,20.0,450.0,30.4,454.0,30.6,Control,0.0,0.0,,0.0,,0.0,
2025-09-08,True,False,T4__존 마커 클릭,헤브/이나,이나,주행요금 개편,"[경쟁존 타겟] - 리드타임 1시간 이상
- 예약 시점이 상대적으로 여유 있는 고객에게 예약 확정 동기 부여
- 조기 예약 시 혜택(쿠폰/크레딧)을 강조하여 경쟁사로 이탈 차단","- 이용시간 설정 리드타임 (1시간 이상)
- 경쟁존 클릭 후 20분내 미예약
- 메시지 분기
ㄴ 20대, 30대 이상 혜택
ㄴ 전기차 탐색 여부
","오늘 예약 시 {60%/65%}할인
주행요금 {무제한/50km} 무료! 망설이지 말고 지금 예약하세요",,,,,Promo_250908-0921_타겟_이나_세일즈tf-경쟁존리드타임1시간이상_카셰어링(전체)_푸시_AB테스트,,,고객 기대 가격 초과,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,,LT3.리드타임 1일 이내,,,,,,Variant,2040.0,544.0,27.0,770.0,37.7,853.0,41.8,Control,72.0,17.0,24.0,0.0,0.00%,0.0,
2025-09-09,True,False,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,훈스,훈스,부름 유도,"**변경
1)
· [ 여기로 부르기 ]를 클릭하여 부름 탐색을 막 시작한 회원
· 현재 클릭 후 랜딩된 페이지에서 보여주는 것은 ""부름은 6시간 이상 빌릴 때만 이용할 수 있습니다.""
  라는 문구 노출 중
· 부름과 예약에 적용할 수 있는 혜택 노출하여 예약 유도하기

· 인앱 메시지 노출 -> 20분 뒤 예약 생성안한 회원은 앱 푸시","- 일 평균 9천명
","[인앱 메시지]
✨ 2일 이상 대여 시 부름요금 0원! ✨
주행거리 50km 무료 혜택까지 함께 드려요.
지금 바로 예약하세요!",,,,,Promo_250908-250921_타겟_훈스_세일즈tf-T1-여기로부르기클릭회원공략_카셰어링(전체)_쿠폰_AB테스트,Promo_250908-250921_타겟_훈스_세일즈tf-T1-여기로부르기클릭회원공략_카셰어링(전체)_쿠폰_AB테스트,,,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,U5. 48시간 이상 ~,,,,,,,Variant,4415.0,951.0,22.0,1419.0,32.1,1519.0,34.4,Control,0.0,0.0,,0.0,,0.0,
2025-09-09,True,False,T4__존 마커 클릭,헤브,훈스,부름 유도,"**변경
2)
· 부름호출존 클릭해서 예약을 망설이는 회원
· 부름을 잘 모르거나 부름 가격이 허들이거나 가정
· 부름과 부름 무료조건을 알려주기","- 이용시간 셋팅 리드타임 1시간 이상인 회원
- 부름호출존 클릭 (서울)","여긴 차량을 가져다 드리는 부름호출존🚚
6시간 이상 빌리면 부름요금 9,900원부터🔻",,,,,Promo_250908-0918_타겟_헤브_세일즈tf-T4-부름호출존마커클릭클릭시-서울특별시부름호출존안내_카셰어링(전체)_인앱메시지_AB테스트,,,"부름 호출존의 개념 자체를 모를 수 있어, 안내와 함께 요금 조건 추가",,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,LT3.리드타임 1일 이내,,,,,,Variant,664.0,232.0,35.0,283.0,42.6,256.0,38.6,Control,0.0,0.0,,0.0,,0.0,
2025-09-09,True,False,T4__존 마커 클릭,헤브,훈스,부름 유도,"**변경
2)
· 부름호출존 클릭해서 예약을 망설이는 회원
· 부름을 잘 모르거나 부름 가격이 허들이거나 가정
· 부름과 부름 무료조건을 알려주기","- 이용시간 셋팅 리드타임 1시간 이상인 회원
- 부름호출존 클릭 (전국)","여긴 차량을 가져다 드리는 부름호출존🚚
6시간 이상 빌리면 부름요금 10,900원부터🔻",,,,,Promo_250908-0918_타겟_헤브_세일즈tf-T4-부름호출존마커클릭클릭시-전국부름호출존안내_카셰어링(전체)_인앱메시지_AB테스트,,,"부름 호출존의 개념 자체를 모를 수 있어, 안내와 함께 요금 조건 추가",,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,LT3.리드타임 1일 이내,,,,,,Variant,1226.0,370.0,30.0,473.0,38.6,422.0,34.4,Control,0.0,0.0,,0.0,,0.0,
2025-09-09,True,False,R1_결제 퍼널 이탈_예약 화면 진입,패트,지아나,주행요금 개편,"전기차 결제페이지에 진입한 회원 대상

대여료 할인 + 보장상품 무료 + 주행요금 무제한 무료로 구성된 
혜택 번들을 강조하여 이탈 방지 및 즉시 예약 전환 유도",전기차 결제페이지에 진입 시,"[💸 최대 할인 쿠폰] + [🔥 보장상품 0원]
+ [🔌 전기차 주행요금 무제한 무료] 👉 모두 적용중",,,,,Promo_250909-0922_타겟_패트_세일즈tf-R1-전기차선택후결제페이지진입시_카셰어링(전체)_인앱메시지_AB테스트,,,,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,M5.전기차,,,,Variant,530.0,240.0,45.0,278.0,52.5,202.0,38.1,Control,0.0,0.0,,0.0,,0.0,
2025-09-09,True,False,R1_결제 퍼널 이탈_예약 화면 진입,지아나,지아나,이탈,"이용 경험이 없는 신규/인액티브 회원가 결제페이지 진입 시 
첫 예약 시 지급되는 혜택을 미리 안내 > 허들 낮추고 즉시 첫 예약 전환 유도",예약/반납 경험이 없는 회원가 결제페이지에 진입 시,"딱 지금만⏰ 
첫 이용 시 [5,000크레딧] 무조건 지급! 
깜짝 혜택을 놓치지 마세요✨",,,,,Promo_250909-0922_신규_지아나_세일즈tf-R1-첫반납크레딧넛징_카셰어링(전체)_인앱메시지_AB테스트,,,,크레딧,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,2527.0,845.0,33.0,961.0,38.0,722.0,28.6,Control,0.0,0.0,,0.0,,0.0,
2025-09-10,True,False,T4__존 마커 클릭,조단,조단,이탈,"· 존 마커 클릭 직후 퍼널 순위
ㄴ 존마커 클릭(34.2%), 차종리스트-차클릭(32.2%), 차종리스트-이용시간클릭(10.4%)
· 예약 생성까지 존 마커 클릭 횟수 별 회원 수 (30분 내)
ㄴ 1회 (29.7%), 2회(15.4%), 3회(11.1%), 4회 이상(43.8%)
ㄴ 2회 이상 : 70.3%
· 존마커 2회 이상 클릭 후에도 예약이 없는 회원은 원하는 차종/가격 둘 중 하나가 충족되지 않은 것으로 가정
ㄴ 특히 가격이 영향을 미쳤을 가능성이 큼

",존마커 2회 이상 클릭 후에도 20분간 예약이 없는 회원,"(광고)[쏘카] 지금 예약 혜택⏰
➊ 60% 쿠폰 자동 적용
➋ 50km까지 주행요금 무료
[수신거부 : 설정]",,,,,Promo_250910-250923_타겟_조단_세일즈tf-T4-존마커클릭-2회이상-예약촉진_카셰어링(전체)_푸시_AB테스트,,,존마커 2회 이상 클릭 후에도 예약이 없는 회원은 원하는 차종/가격 둘 중 하나가 충족되지 않은 것으로 가정,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,7432.0,1750.0,24.0,2426.0,32.6,2718.0,36.6,Control,169.0,39.0,23.0,0.0,0.00%,0.0,
2025-09-10,True,False,B0_혜택 탐색 중 이탈_접속,이나,이나,이탈,"가입 후 이용시간 클릭(탐색 시작) 진입하여 첫 예약 유도
소재: (A) 이용전 매뉴얼 유도로 행동 불확실성 해소, (B) 혜택 인지로 클릭 유도

[메모]
가입만 하고 떠남 (가입 후 > 이용시간 클릭 없음) 즉, 탐색 없음
가입한 회원 3160명 > 푸시 동의 1676명 > 이용시간 클릭 없음 957명 57%이탈 (09/07기준)

예약부터 반납까지 매뉴얼 안내 제공 
현재 이용전 쏘카 매뉴얼 확인 하는 회원 1일: 479명 중 239명 이용시간 탐색하러 감
or 
쏘카 이용 전 확인하면 좋을 혜택 제공 (지금은 주행요금 50km/ 전기차 무료)
1차적으로 이용시간 탐색까지라도 하게 하기가 목적 >> 그럼 차량탐색 이탈 퍼널에 잡혀 comm 플로우 탐","가입 후 24시간 이내 + 이용시간 클릭 없음
푸시 동의 회원
ㄴ1) 매뉴얼 미열람자 -> 매뉴얼형 카피로 불확실성 해소 유도
       가입 후 click 액션 1분내 없음
ㄴ2) 그 외 -> 혜택 카피로 클릭 트리거 강화
++ 야간 가입자(20~08시) -> 다음날 오전(09시) 리마인드","푸시 문구
1) 매뉴얼 미확인 고객 
(광고)[쏘카] 처음이라도 문제없어요!
예약부터 반납 방법까지 확인하고, 쏘카 마스터가 되어보세요😎
[수신거부 : 설정]

2) 매뉴얼 이미 확인한 고객
(광고)[쏘카] 원하는 쿠폰 골라서 써봐요
➊ 길게 탈 땐 60% ➋ 짧게 탈 땐 40%
이제 빌릴 시간을 정해볼까요?👉
[수신거부 : 설정]

(광고)[쏘카] 주행요금 안내
➊ 50km까지 무료 ➋ 전기차는 무제한 무료
이제 빌릴 시간을 정해볼까요?👉
[수신거부 : 설정]
-----------------------
혜택 받고 시작해요
지금 주행요금 50km / 전기차 무료 적용!

대여 40% (4시간 미만)
대여 60% (4시간 이상)",,,,,Promo_250910-0923_타겟_이나_세일즈tf-신규회원-가입직후이탈_카셰어링(전체)_푸시_AB테스트,,,"1) 다음 액션을 모름> 가입 후 무엇을 눌러야 할지 불명확함 (메인 복잡) 매뉴얼로 불확실성 해소하여 탐색 액션 유도
2) 상황+시간대 부적합하여 잊음 (가입 시점이 바빠서 > 나중에로 미룸) > 혜택 후킹하여 예약전환 강화
",쿠폰,푸시,L1. 신규회원 : 당일 가입 / 당일 접속,,,,,,,,,Variant,1587.0,108.0,7.0,150.0,9.5,117.0,7.4,Control,27.0,1.0,4.0,0.0,0.00%,0.0,
2025-09-10,True,False,B0_혜택 탐색 중 이탈_접속,훈스,훈스,주행요금 개편,"· 앱 메인에서 [최대 70% 할인] 버튼 클릭한 회원
· 할인 탐색 중인 회원에게 할인 쿠폰 지급 사실과 전기차 주행요금 무료를 인지시키고 예약 퍼널로 랜딩",,"대여요금 73%할인 쿠폰 지급 완료🎁
전기차 주행요금 무료 혜택과 함께 장거리 여행을 떠나보세요🚐",,,,,Promo_250910-0923_타겟_훈스_세일즈tf-B0-혜택탐색이탈-최대73%할인버튼클릭_카셰어링(전체)_인앱메시지_AB테스트,,,"현재 회원들은 너무 많은 쿠폰을 가지고 있어 버튼 클릭 후 혜택 탐색 및 인지 어려움
쿠폰 지급을 명확히 해주고 예약 퍼널 숏컷을 설계해주면 예약전환될 것",,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,638.0,142.0,22.0,191.0,29.9,198.0,31.0,Control,0.0,0.0,,0.0,,0.0,
2025-09-11,True,False,T2__대여시간 설정,밤비,훈스,이탈,"· 야간시간대 셋팅 및 편도 버튼 클릭 시 심야할인 안내하기
· 예약퍼널에서 편도 버튼 클릭한 회원에게 어떤 베네핏도 알려주고 있지 않음
· 혜택을 즉시 안내하면 예약전환 올릴 수 있을 것",,"18시부터는 편도요금 50% 할인 중📉
주행요금 50Km 무료 혜택과 함께 이용하세요🚗",,,,,Promo_250911-0924_타겟_밤비_세일즈tf-T7-편도클릭회원심야할인안내_카셰어링(전체)_인앱메시지_AB테스트,,,"· 예약퍼널에서 편도 버튼 클릭한 회원에게 어떤 베네핏도 알려주고 있지 않음
· 혜택을 즉시 안내하면 예약전환 올릴 수 있을 것",,인앱메시지,L2. 당일 활성 회원: 당일 접속,,U2. 4시간 이상 ~ 10시간 미만,LT2.리드타임 2시간 이내,S4. 18시-24시 (저녁),,,,,Variant,846.0,308.0,36.0,356.0,42.1,366.0,43.3,Control,0.0,0.0,,0.0,,0.0,
